T_K [INPUT],P_atm [INPUT],Z_feed [INPUT],N_stages [INPUT],F_Stage [INPUT],R_reflux [INPUT],B_molps [INPUT],xD [OUTPUT],xB [OUTPUT],QC_kW [OUTPUT],QR_kW [OUTPUT],status [INFO]
348.4,1.914,0.2601,12,3,4.449,30.94,0.37751635,0.998,12158.5194,12839.7502,done
338.5,2.27,0.6314,10,5,3.997,69.08,0.9939752,0.5301352,4840.1444,5127.671,done
351.0,1.932,0.4406,10,5,1.846,57.34,0.97576887,0.95652296,3735.5852,4020.9602,done
336.3,1.316,0.7965,11,4,3.76,45.91,0.99555333,0.43722554,8087.9217,8164.3789,done
373.9,2.629,0.4396,16,2,2.076,63.8,0.99080635,0.87235616,3295.1258,3985.8095,done
339.0,2.248,0.4654,14,11,2.776,36.17,0.72110791,0.98442627,7690.0957,8141.239,done
362.7,2.109,0.7493,9,7,4.931,40.73,0.98006912,0.5902217,10579.7718,11573.4851,done
344.8,1.177,0.5675,12,3,2.249,34.37,0.86395661,0.998,6679.5138,6765.3974,done
330.9,1.149,0.6309,17,4,1.568,57.09,0.99782525,0.64272868,3493.7919,3403.6144,done
340.3,1.388,0.3846,9,4,2.263,54.68,0.80795604,0.9683602,4702.291,4780.5371,done
359.1,1.634,0.2082,17,15,3.245,48.09,0.38814748,0.98745794,7017.3931,7475.7248,done
359.4,1.59,0.588,20,17,3.247,69.66,0.97492035,0.57943951,3895.9291,4355.2799,done
371.3,1.926,0.3692,13,3,3.61,45.58,0.67634986,0.99700461,7627.8934,8445.147,done
351.5,1.238,0.2792,16,14,2.185,39.75,0.43016319,0.94873234,6151.0147,6353.1545,done
343.5,1.144,0.2959,15,5,4.427,44.81,0.53581049,0.99696997,9686.622,9762.4614,done
338.8,1.127,0.5492,19,5,4.992,34.47,0.90486941,0.99697952,12355.6452,12387.6596,done
348.7,1.976,0.2231,16,15,2.193,60.6,0.52639947,0.97303733,4008.1514,4330.8959,done
332.6,1.905,0.7836,16,3,3.053,43.81,0.9964157,0.48761227,7182.5847,7374.8994,done
336.1,2.931,0.6491,8,2,3.177,58.97,0.99864568,0.59458631,5403.9369,5761.8715,done
376.5,2.894,0.3661,10,8,4.904,60.41,0.88659028,0.97569101,6920.9189,8155.749,done
367.4,2.479,0.4683,13,4,3.383,69.85,0.99681941,0.76085697,3942.4619,4629.9671,done
366.6,2.773,0.6518,16,10,2.528,52.93,0.98790333,0.64547351,4967.6267,5740.4666,done
357.1,1.603,0.3241,8,4,1.553,36.67,0.48065597,0.94771876,5092.1817,5426.9582,done
346.0,2.666,0.2239,14,4,4.884,39.48,0.37182555,0.998,11589.4736,12666.9822,done
342.5,2.328,0.7735,11,5,3.748,64.06,0.99094784,0.34882484,5308.7437,5699.0991,done
341.4,1.545,0.5235,15,8,3.617,45.65,0.96061483,0.99372414,7838.1281,8071.0285,done
366.7,2.037,0.54,14,3,2.34,57.43,0.9968472,0.79831519,4264.3947,4840.4837,done
369.2,2.201,0.5636,13,2,2.434,55.63,0.99250394,0.77733654,4547.8908,5196.7545,done
351.7,2.818,0.4133,9,8,2.876,44.2,0.71997869,0.97235472,6802.2523,7512.0101,done
337.6,1.259,0.4924,10,7,2.492,41.75,0.82777231,0.97958249,6446.2913,6468.4712,done
364.1,2.778,0.6857,16,6,2.589,67.14,0.99769121,0.46448763,3543.0197,4154.9892,done
367.0,1.633,0.3601,10,6,4.711,36.47,0.56282167,0.98965728,11215.0706,11941.9096,done
356.2,2.293,0.2061,19,18,2.178,50.09,0.3838951,0.96959725,5064.8068,5576.7558,done
340.7,1.8,0.2753,14,10,3.369,31.65,0.3980286,0.98621239,9785.9663,10133.9315,done
363.6,2.279,0.7739,17,10,4.126,36.37,0.9878503,0.60173376,9790.6762,10772.7307,done
345.5,2.922,0.2618,9,2,3.336,52.65,0.54183445,0.98856327,6605.0277,7270.1979,done
367.4,2.874,0.3973,17,2,1.882,35.74,0.61592791,0.9941198,5685.6095,6499.6935,done
345.8,2.118,0.713,16,11,3.971,32.58,0.98315878,0.84774567,10359.2616,11058.0696,done
360.7,2.075,0.7774,11,7,1.165,57.99,0.98537269,0.37062527,2733.883,3151.5743,done
370.7,2.369,0.7585,8,4,2.477,36.49,0.98716844,0.63837249,6538.7802,7402.0649,done
370.8,1.798,0.4244,11,6,4.68,44.31,0.75525505,0.99028895,9591.6669,10451.9299,done
368.6,2.322,0.5872,12,6,4.27,36.02,0.91772728,0.99356163,10105.6758,11209.6667,done
374.7,2.065,0.5278,11,9,2.326,43.62,0.89692424,0.94867615,5574.7508,6348.8216,done
378.9,1.396,0.3838,17,7,2.407,52.39,0.8003006,0.99675997,4809.2954,5454.2853,done
338.1,2.776,0.7271,12,7,2.243,52.03,0.99051834,0.51416906,4876.6704,5193.2213,done
344.6,2.381,0.5002,19,12,1.7,67.71,0.9844031,0.73176784,2712.6606,2889.3219,done
370.2,1.898,0.6576,17,12,1.689,55.53,0.98293476,0.60401061,3564.0097,4130.0515,done
365.6,1.778,0.2902,18,11,1.859,68.81,0.87554233,0.9751878,2699.9202,3179.8443,done
370.7,2.832,0.6279,13,8,4.607,36.77,0.97641585,0.97388044,10539.8151,12059.1132,done
347.5,1.841,0.5451,11,7,3.075,68.13,0.98523704,0.6612105,4012.4337,4313.4591,done
365.3,1.416,0.6226,19,2,1.05,42.16,0.98979458,0.88267908,3549.6754,3934.1208,done
360.6,2.967,0.6475,19,3,2.465,55.09,0.99105249,0.63722578,4706.4138,5372.2951,done
344.9,2.267,0.7755,16,6,3.263,42.59,0.99597201,0.52293166,7576.4667,8118.738,done
337.9,2.488,0.4062,20,6,2.417,30.67,0.58807462,0.998,7630.409,8132.1045,done
348.6,2.245,0.3151,14,13,3.379,42.13,0.53278631,0.98491905,8086.9132,8692.6593,done
350.6,2.632,0.3666,15,2,2.343,65.71,0.98934256,0.95995785,3521.7866,3877.8187,done
365.9,1.362,0.6935,9,6,1.099,64.13,0.98485805,0.46990385,2250.2818,2694.5277,done
379.9,2.443,0.3749,13,6,1.464,35.11,0.54534042,0.93953438,4814.3284,5665.834,done
358.2,1.296,0.6758,12,10,4.819,51.03,0.97940001,0.61570426,8641.5121,9062.1093,done
369.7,1.757,0.7528,18,9,4.685,66.28,0.99134428,0.36889725,5705.1073,6413.599,done
335.3,1.699,0.2368,16,3,4.232,64.07,0.65557874,0.99739775,6096.5994,6240.1546,done
334.8,1.577,0.6003,12,3,1.798,43.45,0.99597159,0.9141256,4989.6032,4990.2316,done
336.3,2.588,0.7536,8,6,1.582,36.1,0.97750191,0.64559781,5176.6749,5386.9576,done
341.2,2.57,0.68,18,12,4.198,49.84,0.98565024,0.62782278,8110.501,8820.4517,done
378.6,1.92,0.5313,14,11,4.13,43.21,0.91993025,0.98138156,8602.6478,9552.7605,done
339.5,1.327,0.2359,15,8,1.706,53.7,0.47956411,0.97260718,4089.7825,4145.4004,done
331.8,2.897,0.2344,16,9,1.959,64.03,0.61313507,0.97831484,3469.2576,3545.8313,done
359.9,1.616,0.6101,18,10,1.682,35.56,0.94131675,0.99219803,5244.8653,5629.5645,done
377.6,1.978,0.5977,18,11,4.644,31.48,0.86678518,0.98653313,11440.9886,12583.3244,done
364.4,1.083,0.5587,16,10,2.712,57.13,0.9847573,0.76361131,4783.8646,5161.7962,done
334.4,2.038,0.4598,11,2,3.435,63.19,0.99439139,0.85026557,5146.1765,5333.3671,done
354.5,2.826,0.7462,19,17,1.608,51.95,0.97457503,0.46560861,3831.7925,4253.8199,done
334.9,1.971,0.3412,17,10,1.862,60.82,0.8540306,0.99127666,3583.8977,3629.206,done
342.7,2.052,0.3495,14,9,4.801,31.15,0.50270351,0.99033498,12936.3192,13711.0763,done
376.3,2.918,0.3905,12,9,1.194,51.92,0.75915563,0.95105876,3160.1676,3871.3551,done
338.7,1.827,0.6297,12,2,3.876,34.25,0.95309183,0.99559775,10074.2046,10448.3577,done
333.3,1.945,0.2032,14,9,4.704,30.14,0.28800165,0.99592003,13298.0766,13803.1102,done
333.9,1.861,0.7811,18,4,4.568,36.05,0.99508857,0.59576552,11234.124,11603.5513,done
366.3,2.638,0.6265,18,10,3.389,42.88,0.98975859,0.85746022,7479.2225,8488.9451,done
377.7,2.688,0.7671,14,10,1.126,33.97,0.98117124,0.64703738,4139.2534,4880.6497,done
331.4,1.224,0.2411,12,3,2.584,34.49,0.36581539,0.99466978,7840.2427,7724.6183,done
352.8,1.208,0.532,17,6,2.772,52.85,0.99789288,0.88411064,5436.0788,5686.2533,done
349.1,1.117,0.3511,11,7,1.319,56.64,0.75846265,0.95845335,3156.5177,3317.1054,done
338.3,1.911,0.5063,9,7,4.029,54.98,0.98321853,0.88302009,7088.0423,7409.3401,done
373.5,1.333,0.7296,9,2,1.303,53.54,0.99396293,0.49702259,3161.818,3683.9457,done
330.6,1.146,0.6394,15,8,2.019,38.09,0.99299781,0.93267647,5938.5811,5790.6319,done
359.0,1.403,0.7187,17,11,1.577,63.52,0.98470766,0.43529864,2840.8526,3211.9191,done
346.5,1.79,0.2783,15,6,4.308,50.58,0.56329254,0.99618818,8388.549,8843.1589,done
337.4,1.85,0.2827,11,2,2.937,38.79,0.45916908,0.998,7912.35,8136.856,done
354.2,1.365,0.7099,11,8,4.048,49.5,0.97981289,0.56627946,7783.3244,8156.8984,done
343.9,2.926,0.7609,15,11,3.574,54.34,0.98471868,0.42680015,6498.0612,7137.1141,done
356.7,2.7,0.2338,16,4,2.596,60.25,0.5572848,0.97876798,4515.8853,5069.7641,done
343.1,2.877,0.4831,10,8,2.992,39.06,0.77705015,0.97311554,7673.2082,8389.5227,done
350.6,1.102,0.7872,11,4,3.732,46.68,0.99483234,0.45014382,7756.9912,7927.4143,done
363.0,2.026,0.3633,9,4,1.745,32.98,0.51372144,0.94109432,5749.3428,6276.7203,done
371.2,2.676,0.7441,17,6,4.499,46.87,0.9978945,0.54250162,8672.1406,9898.9358,done
353.7,2.745,0.5818,18,5,1.775,67.33,0.99669389,0.61998817,2773.033,3115.9433,done
335.2,1.611,0.2793,15,7,2.433,66.11,0.81314961,0.99471962,3725.4126,3775.1861,done
345.3,1.157,0.3429,16,9,2.546,39.02,0.55948958,0.99540996,6934.2705,7042.3931,done
355.6,1.047,0.6485,16,14,3.0,48.08,0.97519784,0.70382697,6320.1485,6555.7643,done
371.5,2.25,0.5907,16,8,3.641,58.3,0.99073771,0.69566313,5745.597,6563.1711,done
347.1,1.063,0.3671,20,16,2.303,39.65,0.59662701,0.98428316,6350.7233,6436.3488,done
371.8,2.811,0.4138,19,9,1.835,31.81,0.60370682,0.99264739,5899.4109,6785.1589,done
365.9,1.553,0.2871,17,14,1.623,33.06,0.39942424,0.9391671,5488.7191,5962.6135,done
368.9,2.174,0.7402,16,11,1.493,46.06,0.98224125,0.54259419,4003.7844,4583.0934,done
339.8,1.068,0.795,11,7,1.64,62.01,0.98522285,0.32023736,3136.1952,3196.8906,done
342.4,1.788,0.4256,20,14,1.181,64.28,0.98403789,0.8817506,2427.3555,2526.6633,done
354.3,2.901,0.7551,20,2,1.656,39.36,0.99264509,0.60721502,4909.8959,5453.7288,done
357.9,1.743,0.4033,20,14,3.604,60.78,0.98296502,0.97062372,5490.5787,5956.9547,done
347.2,2.284,0.6248,19,6,4.071,45.05,0.99808553,0.83312734,8590.4511,9265.846,done
362.2,1.16,0.4176,12,9,2.661,67.99,0.98052923,0.84824624,3531.1381,3938.6839,done
358.1,2.069,0.2073,16,9,3.073,67.78,0.60839779,0.97895082,4093.6649,4583.7788,done
352.4,1.904,0.4674,17,2,2.055,63.16,0.99215025,0.83639485,3445.7805,3759.1318,done
371.8,1.646,0.4444,19,17,3.979,54.09,0.94859378,0.98206348,6836.8569,7498.2624,done
360.3,2.617,0.5511,18,13,3.58,62.36,0.98450729,0.70641169,5205.4079,5916.1025,done
369.2,2.798,0.2819,8,4,4.158,40.26,0.46252915,0.98114317,9554.6463,10862.8237,done
348.3,2.454,0.4549,9,4,3.533,56.86,0.99436453,0.95170975,6003.8317,6555.0785,done
337.9,2.911,0.4527,13,8,4.248,47.98,0.86434981,0.99352194,8644.853,9423.2758,done
340.6,1.205,0.5032,15,14,3.238,55.76,0.97668782,0.87061477,5849.0786,5940.5803,done
377.9,1.779,0.496,14,12,3.938,55.28,0.97577656,0.89498427,6486.9206,7301.6567,done
364.9,1.554,0.6569,15,2,1.899,58.69,0.99033124,0.57593907,3601.0598,4045.9699,done
358.0,1.011,0.651,14,6,2.996,47.17,0.99346213,0.73088965,6394.0725,6626.5825,done
365.0,1.848,0.4208,13,3,3.728,38.53,0.6829508,0.998,8955.0163,9661.5861,done
353.9,2.492,0.4053,10,7,2.956,41.8,0.68760807,0.98367295,7187.0123,7918.6783,done
342.1,2.982,0.2463,15,11,2.335,30.45,0.33004975,0.95044429,7632.2726,8271.0087,done
360.6,1.966,0.2845,20,12,1.046,53.62,0.57520791,0.96689096,2964.1209,3333.2264,done
358.5,2.389,0.4003,19,16,4.104,56.21,0.89811992,0.98529569,6847.1188,7593.0243,done
333.2,2.101,0.5424,8,5,3.788,62.25,0.98412733,0.72301653,5713.8136,5966.1287,done
360.8,1.669,0.5051,19,12,3.949,53.15,0.9869969,0.92098951,6974.8921,7548.0608,done
373.1,1.163,0.4918,19,12,4.325,46.57,0.91174353,0.99202673,8450.7901,9017.3768,done
351.5,1.331,0.6413,11,7,3.965,67.89,0.98609724,0.52114475,4889.9482,5203.5026,done
345.3,1.272,0.3958,9,5,2.394,46.34,0.7154905,0.97376052,5746.9232,5900.0056,done
379.8,1.966,0.769,9,4,2.203,43.84,0.99408812,0.51969426,5253.7527,6049.3167,done
342.8,1.078,0.377,12,3,4.116,63.26,0.99195587,0.97803252,5835.7568,5941.2731,done
342.4,2.222,0.3347,10,6,1.907,45.08,0.57049282,0.95516291,5135.5802,5397.2277,done
366.3,1.667,0.4431,18,16,4.297,36.62,0.68338295,0.97122973,10263.7176,10991.7602,done
341.1,1.743,0.5553,11,5,1.455,34.86,0.83367693,0.96651432,5059.5326,5149.0312,done
345.7,2.17,0.3806,12,11,4.19,44.62,0.67191109,0.98098059,9115.167,9765.6335,done
